Company Name	URL
Canada Beef	http://www.canadabeef.ca/
Canadian Egg Marketing Association	http://www.canadaegg.ca/
Canadian Federation of Agriculture	http://www.cfa-fca.ca/
Canadian Food Industry Council	http://www.cfic-ccia.ca/
Canadian Produce Marketing Association	http://www.cpma.ca/
Canadian Soft Drink Association	http://www.softdrink.ca/
Canadian Turkey Marketing Association	http://www.canadianturkey.ca/
Chicken Farmers of Canada	http://www.chicken.ca/
Dairy Bureau of Canada	http://www.dairybureau.org/
Distribution Canada Inc.	http://www.distributioncanada.ca/
Food and Consumer Products Manufacturers	http://www.fcpc.ca/
Food Biotechnology Communications Network	http://www.foodbiotech.org/
Food Marketing Institute	http://www.fmi.org/
Kosher Foods Information Network	http://www.kosherchannelone.com/
National Association for Specialty Food Trade (NASFT®)	http://www.specialty-food.com/Client/NASFT.asp
National Grocers Association	http://www.nationalgrocers.org/
Ontario Greenhouse Vegetable Growers Association	http://www.ontariogreenhouse.com/
Organic Trade Association	http://www.ota.com/
