Company,Address,Website_URL
Marcelle's Kitchen,"Ontario, CA",marcelleskitchen.ca
Molly's Bistro Bakery,"Ontario, CA",mollysbistrobbakery.ca
Pizza on Earth,"Ontario, CA",pizzainearth.ca
Honey Grove Bakery,"British Columbia, CA",honeygrovebakery.ca
Boon Bakery Inc.,"Ontario, CA",boonbakery.ca
Newfoundland Chocolate Company,"Newfoundland and Labrador, CA",newfoundlandchocolatecompany.com
Piggy and Paisley Tea Room,"British Columbia, CA",piggyandpaisley.ca
Del's Pastry Limited,"Ontario, CA",delspastry.com
CBL Bakeries Ltd,"Alberta, CA",cinnaroll.com
Ozery Bakery,"Ontario, CA",ozerybakery.com
La Baguette & l’Échalote/BLÉ BAKERY,"British Columbia, CA",labaguette.ca
Niche Bakers Corp,"Ontario, CA",nichebakers.com
George Brown College,"Ontario, CA",georgebrown.ca
Red River College Polytech,"Manitoba, CA",rrc.ca
George Brown College,"Ontario, CA",missjuliebakes.com
Fred Victor Centre,"Ontario, CA",fredvictor.org
Multivac CA,"Ontario, CA",ca.multivac.com
Vale Packaging Limited,"Nova Scotia, CA",valepackaging.ca
Omori North America Inc,"Ontario, CA",omori-na.com
Ingredion Canada,"Ontario, CA",ingredion.com
Olera Ingredients & Distribution,"British Columbia, CA",olera.ca
RF Bakery Equipment,"British Columbia, CA",rfbakery.com
Cana Packing Inc.,"Nova Scotia, CA",canapacking.ca
FlexiBake ERP Software,"British Columbia, CA",flexibake.com
Lucid Corp,"Ontario, CA",lucidcorp.com
IREKS North America Ltd,"Ontario, CA",ireksnorthamerica.com
Pemberton & Associates,"Ontario, CA",pemcom.com
Vanilla Charm (DEW IMPORTS),"Ontario, CA",vanillacharm.com
Barentz,"Ontario, CA",barentz-na.com
Rettenmaier Canada,"Ontario, CA",rettenmaier.ca
Vanillablossom Flavors Inc,"British Columbia, CA",vanillablossom.com
Enjay Converters Ltd.,"Ontario, CA",enjay.com
Zucchero Canada,"Alberta, CA",zuccherocanada.ca
Canada Cacao Company Inc,"Alberta, CA",canadacacaocompany.com
Rexfab,"Quebec, CA",rexfab.com
Kubota Brabender Technologie,"Ontario, CA",kubota-bt.com
3PL Links Inc.,"Ontario, CA",3pllinks.com
Tyers Foods International & FoodTec Canada Inc.,"Ontario, CA",foodtec.ca
PROREC,"Quebec, CA",prorec.ca
Grasslands Food & Ingredients,"Saskatchewan, CA",grasslandsltd.com
JDB Enterprise Inc.,"Ontario, CA",jdbenterprise.ca
ADM/Matsutani LLC,"Ontario, CA",fibersol.com
Cakes by Annamaria,"Ontario, CA",cakesbyannamaria.wixsite.com
Cereals Canada,"Manitoba, CA",cerealscanada.ca
Dava Cakes,"Ontario, CA",davacakes.com
Quadra Group,"Ontario, CA",quadragroup.com
Quican Inc.,"Ontario, CA",quican.com
Richardson Food & Ingredients,"Manitoba, CA",richardson.ca
Integral HR Solutions Inc.,"Ontario, CA",integralhrsolutions.ca
The Bakers Workshop Consulting,"Ontario, CA",thebakersworkshop.ca
Rise Baking Lab,"British Columbia, CA",risebakinglab.com
Ojai Group - Commodities Consultant,"Ontario, CA",ojaitrading.com
Big Deal Ingredients,"British Columbia, CA",bigdealingredients.ca
VC999 Ltd,"Quebec, CA",vc999.com
Maritime Pride Eggs/Nutrigroupe,"Nova Scotia, CA",maritime pride eggs
Marsia Foods Inc,"Ontario, CA",marsia.ca
France Décor Canada/Vixit,"Quebec, CA",vixit.com
Chocoland (ABZ Wholesale),"Ontario, CA",chocolateland.ca
Kathys Kakes,"Ontario, CA",kathyskakes.ca
The Kootenay Bakery Cafe Cooperative,"British Columbia, CA",thekootenaybakerycafe.com
SAB Services Ltd,"Ontario, CA",sabfruitcake.com
Dalia Bakery Inc.,"Ontario, CA",daliacake.com
Quality Bakery 1981 Ltd,"British Columbia, CA",invermerebakery.com
La Roux Pâtisserie,"British Columbia, CA",laroux.ca
Smør Scandinavian Bakery,"British Columbia, CA",smor.ca
Pransa Cake Ltd,"Ontario, CA",pransacake.com
La Focacceria Artisan Bakery,"British Columbia, CA",lafocacceria.ca
Grounds for Coffee,"British Columbia, CA",groundsforcoffee.ca
Whole Note Grains Co.,"Ontario, CA",wholenotegrains.ca
Homestead Artisan Bakery,"Ontario, CA",homesteadartisanbakery.com
Old Church Bakery Inc.,"Manitoba, CA",oldchurchbakery.com
Bliss Bakery,"British Columbia, CA",blissbakery.ca
The Bread Essentials,"Ontario, CA",thebreadessentials.com
Felix & Norton Markham,"Ontario, CA",fncookies.com
Tall Grass Prairie Bread Co. (at the Forks),"Manitoba, CA",tallgrassbakery.ca
The Sweet North,"Ontario, CA",thesweetnorth.ca
Tommy's Whole Grain,"British Columbia, CA",tommyswholegrain.com
Blackbird Baking Company,"Ontario, CA",blackbirdbakingco.com
The Measuring Spoon,"Ontario, CA",themeasuringspoon.ca
Old Town Bakery Ltd,"British Columbia, CA",oldtownbakery.ca
Jackie's Creative Cakes & Sweets,"Ontario, CA",jackiescreativecakes.com
Do Good Donuts,"Ontario, CA",dogooddonuts.org
Lady Glaze Doughnuts Inc,"Ontario, CA",ladyglazedoughnuts.com
