"packaging name","material name","products tagged"
Bag,Plastic,32186
Bottle,Glass,30281
Bottle,Plastic,25750
Bag,Misc Material,23091
Can,Aluminum,16313
Box,Misc Material,15968
Box,Cardboard,10184
Jar,Glass,10112
Tray,Misc Material,8605
Misc Packaging Format,Plastic,7548
Tub,Misc Material,6683
Wrap,Misc Material,6123
Tub,Plastic,6085
Tray,Plastic,5615
Jar,Plastic,5603
Bottle,Misc Material,5488
Jar,Misc Material,5300
Can,Metal,4847
Wrap,Plastic,4344
Misc Packaging Format,Cardboard,3049
Can,Misc Material,2679
Longneck Bottle,Glass,2590
Sleeve,Cardboard,2459
Cup,Misc Material,1807
Bag,Paper,1454
Well,Misc Material,1268
Misc Packaging Format,Glass,1220
Carton,TetraPak,1101
Bag,Foil,1082
Bag,Coated Paper,1072
Canister,Metal,1006
Pouch,Plastic,964
Canister,Plastic,960
Bottle,HDPE,903
Canister,Misc Material,893
Wrap In Box,Misc Material,845
Box,Plastic,781
Bag,Mesh,763
Bag,Cardboard,744
Bowl,Misc Material,718
Wrap,Cardboard,695
Envelope,Plastic,665
Pegged,Misc Material,616
Box,Coated Cardboard,615
Envelope,Misc Material,604
Carton,Coated Cardboard,536
Bag,Cellophane,522
Canister,Cardboard,428
Envelope,Foil,412
Wrap,Paper,405
Can,Steel,395
Tube,Plastic,385
Cup,Plastic,355
Microwaveable,Plastic,255
Misc Packaging Format,Metal,250
Bottle In Box,Glass,242
Tray,Styrofoam,234
Jug,Misc Material,234
Tray,Cardboard,232
Jug,Plastic,224
Short Neck Bottle,Glass,222
Can,Cardboard,220
Bag In Box,Cardboard,207
Theater Box,Cardboard,198
Bottle,Cardboard,175
Misc Packaging Format,Misc Material,168
Carded,Cardboard,156
Can,Plastic,152
Envelope In Box,Cardboard,143
Envelope,Cardboard,141
Bag,Brown Paper,131
Pouch,Misc Material,130
Bag,Poly,123
Bottle In Wrap,Plastic,118
Bowl,Plastic,106
Envelope,Paper,106
Grinder,Glass,97
Tub,Cardboard,92
Bottle,Aluminum,86
Envelope,Coated Paper,81
Pouch,Foil,75
Bottle In Box,Cardboard,73
Wrap,Foil,73
Envelope In Box,Misc Material,71
Carton,Cardboard,68
Jug,Glass,65
Tub,Coated Cardboard,61
Wrap,Cellophane,59
Carded,Plastic,59
Bottle In Canister,Glass,56
Brick,Foil,51
Pod,Cardboard,50
Grinder,Plastic,48
Tube/Stick,Misc Material,48
Bowl,Cardboard,46
Tube,Misc Material,42
Platter,Misc Material,40
Microwaveable,Cardboard,40
Wrap,Coated Paper,40
Misc Packaging Format,Coated Cardboard,39
Jar In Wrap,Plastic,38
Canister,Aluminum,36
Bottle,Metal,35
Jar,Metal,34
Misc Packaging Format,Aluminum,33
Bottle In Wrap,Glass,33
Misc Packaging Format,Coated Paper,32
Box,Glass,31
Longneck Bottle,Misc Material,31
Carded,Misc Material,30
Wrap,Styrofoam,29
Ring,Misc Material,29
Short Neck Bottle,Aluminum,28
Tray In Sleeve,Plastic,26
Misc Packaging Format,Foil,25
Misc Packaging Format,Paper,25
Wrap,Metal,24
Cup,Coated Cardboard,24
Canister,Steel,23
Canister,Tin,23
Pan,Misc Material,23
Brick,Plastic,22
Longneck Bottle,Aluminum,20
Box,Wood,20
Tube,Cardboard,19
Bottle In Box,Misc Material,18
Box,Metal,18
Wrap In Box,Cardboard,16
Bowl,Coated Cardboard,15
Envelope In Box,Plastic,15
Bag,Coated Cardboard,15
Box,Paper,15
Cask In Box,Cardboard,14
Bottle,Ceramic,14
Platter,Plastic,14
Tube In Box,Cardboard,13
Molded Tray,Misc Material,12
Tray,Metal,12
Carton,Misc Material,12
Box,Coated Paper,11
Case,Plastic,11
Can,Glass,11
Tray In Sleeve,Misc Material,11
Canister,Coated Cardboard,10
Keg,Metal,10
Microwaveable,Coated Cardboard,10
Wrap,Wax,10
Bottle,Coated Cardboard,9
Bag,Cloth,9
Pouch,Bpa Free Plastic,9
Misc Packaging Format,Cellophane,9
Jar,Cardboard,9
Bowl In Sleeve,Plastic,9
Box,Tin,7
Tub In Sleeve,Plastic,7
Keg,Aluminum,7
Longneck Bottle In Box,Glass,6
Bottle In Canister,Metal,6
Sleeve,Misc Material,6
Molded Tray,Plastic,6
Tube,Foil,6
Canister,Glass,6
Bottle In Box,Ceramic,6
Tray,Aluminum,6
Canister,Coated Paper,6
Pod,Plastic,6
Microwaveable,Misc Material,6
Bottle In Canister,Cardboard,6
Bottle In Bag,Glass,6
Canister In Wrap,Plastic,5
Misc Packaging Format,Rubber,5
Box In Wrap,Misc Material,5
Stick In Box,Cardboard,5
Bowl In Sleeve,Misc Material,5
Brick,Coated Paper,5
Carton,Coated Paper,5
Cup,Cardboard,5
Brick,Misc Material,5
Wrap In Bag,Misc Material,4
Cup,Paper,4
Tub,Cellophane,4
Bottle In Box,Plastic,4
Short Neck Bottle,Plastic,4
Tub,Styrofoam,4
Envelope,Coated Cardboard,4
Canister,Foil,4
Envelope,Cellophane,4
Pouch Bag,Plastic,3
Carton,Glass,3
Short Neck Bottle,Misc Material,3
Jug,Cardboard,3
Tray In Box,Plastic,3
Wrap In Box,Plastic,3
Tub,Wood,3
Canister,Paper,3
Tray In Sleeve,Cardboard,3
Box,Waxed Cardboard,3
Tray,Paper,3
Bowl,Glass,3
Bag In Box,Plastic,3
Wide Mouth Can,Aluminum,3
Tub,Coated Paper,3
Ring,Plastic,3
Wrap In Tray,Misc Material,3
Misc Packaging Format,Mesh,3
Tub,Metal,3
Bottle In Box,Metal,2
Bowl,Styrofoam,2
Vented Wide Mouth Can,Aluminum,2
Cup,Coated Paper,2
Basket,Wicker,2
Longneck Bottle,Plastic,2
Bottle In Sleeve,Glass,2
Box In Wrap,Plastic,2
Tray,Coated Paper,2
Envelope In Bag,Plastic,2
Well,Plastic,2
Pouch,Cardboard,2
Bowl In Box,Plastic,2
Pan,Metal,2
Bowl,Paper,2
Grinder,Misc Material,2
Carton,Plastic,2
Basket,Plastic,2
Wrap,Poly,2
Bottle,Bpa Free Plastic,2
Wrap,Mesh,2
Carded,Coated Cardboard,2
Microwaveable,Aluminum,1
Tube In Box,Misc Material,1
Tin,Plastic,1
Wrap In Tray,Plastic,1
Wide Mouth Short Neck Bottle,Aluminum,1
Carded,Cellophane,1
Misc Packaging Format,Fabric,1
Stick Pack,Cardboard,1
Misc Packaging Format,Brown Coated Paper,1
Misc Packaging Format,Steel,1
Stick In Canister,Metal,1
Tray,Wood,1
Keg,Steel,1
Bottle In Basket,Glass,1
Misc Packaging Format,Styrofoam,1
Wrap In Sleeve,Misc Material,1
Box In Wrap,Coated Cardboard,1
Basket,Cardboard,1
Envelope In Tray,Plastic,1
Tray In Box,Cardboard,1
Box,Aluminum,1
Bag In Box,Misc Material,1
Bottle In Bag,Plastic,1
Baby Bottle,Misc Material,1
Packet,Paper,1
Pouch,Coated Paper,1
Pod,Coated Cardboard,1
Flask,Metal,1
Basket,Wood,1
Tube Envelope In Box,Plastic,1
Envelope In Box,Coated Paper,1
Sleeve,Coated Paper,1
Pegged,Plastic,1
Tube In Box,Glass,1
Sachet In Box,Cardboard,1
Tray In Wrap,Misc Material,1
Tray,Waxed Cardboard,1
Box In Sleeve,Misc Material,1
Bottle,Paper,1
Bag In Box,Paper,1
Vial,Plastic,1
Tube Envelope In Box,Cardboard,1
Basket,Bamboo,1
Tube Envelope,Plastic,1
Big Mouth Short Neck Bottle,Glass,1
Tray In Wrap,Cardboard,1
Bottle In Bag,Misc Material,0
Basket,Misc Material,0
Sachet In Box,Misc Material,0
Tote,Poly,0
Carton,Elopak,0
Wide Mouth Can,Misc Material,0
Jar In Wrap,Misc Material,0
Dropper Bottle,Aluminum,0
Tray In Box,Misc Material,0
Dropper Bottle,Plastic,0
Stick In Canister,Misc Material,0
Pod,Misc Material,0
Tin,Misc Material,0
Bottle In Sleeve,Misc Material,0
Tub In Sleeve,Misc Material,0
Bottle In Wrap,Misc Material,0
Envelope In Tray,Misc Material,0
Dropper Bottle,Misc Material,0
Tube Envelope,Misc Material,0
Carton,SIG Combibloc,0
Bowl In Box,Misc Material,0
Packet,Misc Material,0
Bag,Multi-wall paper,0
Tube Envelope In Box,Misc Material,0
Stick Pack,Misc Material,0
Recart Carton,TetraPak,0
Pouch Bag,Misc Material,0
Jug,HDPE,0
Vial,Misc Material,0
Keg,Misc Material,0
Bottle In Basket,Misc Material,0
Jug,PET,0
Envelope In Bag,Misc Material,0
Case,Misc Material,0
Bottle In Canister,Misc Material,0
Longneck Bottle In Box,Misc Material,0
Wide Mouth Short Neck Bottle,Misc Material,0
Dropper Bottle,Glass,0
Big Mouth Short Neck Bottle,Misc Material,0
Flask,Misc Material,0
Can,Nitro,0
Canister In Wrap,Misc Material,0
Cask In Box,Misc Material,0
Vented Wide Mouth Can,Misc Material,0
Theater Box,Misc Material,0
Stick In Box,Misc Material,0
Bottle,PET,0
